title,genre,budget_million,revenue_million,rating,year
Sky Warriors,Action,120,520,8.1,2019
Love in Paris,Romance,35,150,7.2,2020
Dark Planet,Sci-Fi,180,760,8.5,2021
Silent Tears,Drama,20,65,7.8,2018
Comedy Nights,Comedy,25,210,7.0,2022
Mystery House,Thriller,45,190,7.6,2021
Ocean Mission,Adventure,140,680,8.3,2023
Robot City,Sci-Fi,200,900,8.7,2024
Family Days,Drama,18,80,7.3,2020
Fast Streets,Action,95,430,7.9,2022
Dream Song,Musical,30,120,6.8,2019
Lost Kingdom,Adventure,160,700,8.2,2021
Funny Town,Comedy,22,95,6.9,2018
Shadow Code,Thriller,55,260,7.7,2023
Golden Heart,Romance,28,110,7.1,2022
